title,org,deadline,fee,category,description,url,instagram,location,prize,eligibility,submitVia,requirements,jury,resultsDate,ai,slug,orgInTitle,dateAdded
The Eden Artists Now Award 2026,The Eden Arts Foundation,2026-04-13,Free,grant,"Unrestricted $3,000 grant plus a four-week residency at The Elizabeth Foundation for the Arts in Midtown Manhattan. Open to visual artists demonstrating outstanding creativity and originality. Independent jury selection.",https://www.theedenartsfoundation.org/new-page-1,@the_eden_arts_foundation,"New York, NY, USA","$3,000",,Google Form,5–8 images,"Carmen Hermo, Curator of Contemporary Art, Museum of Fine Arts Boston; Elena Ketelsen González, Associate Curator, MoMA PS1","June 15, 2026",,the-eden-artists-now-award-2026,true,2026-03-16
Schloss Plüschow Artist-in-Residence 2026,Mecklenburg Artists' House,2026-05-03,€10,residency,"Five working scholarships for international visual artists. Three-month residency (October–December 2026) with €1,000/month stipend. On-site stay required at historic Schloss Plüschow in northern Germany.",https://www.plueschow.de/kuenstler/bewerbung/,@schlossplueschow,"Plüschow, Germany","€3,000",,Website form,"4 PDFs (project description, CV, work samples, proof of fee)",,June 2026,,schloss-pl-schow-artist-in-residence-2026-mecklenburg-artists-house,false,2026-03-16
Inspired by Classics — Golden Duck Gallery,Golden Duck Gallery,2026-03-29,"Free to submit, €100/artwork if selected",exhibition,"International open call for contemporary art engaging with classical art traditions. Study copies, homages, and modern interpretations welcome. Physical exhibition in Budapest, online exhibition in Vienna and New York. 3 artists exhibit free. €1,000 prize fund.",https://www.goldenduckgallery.com/open-calls/inspired-by-classics,@goldenduckgallery,"Budapest, Hungary","€1,000",,Google Form,Up to 5 images,,"April 3, 2026",,inspired-by-classics-golden-duck-gallery,true,2026-03-16
Life Framer — Black & White,Life Framer,2026-03-31,$20–$100,photography,"Monthly photography competition judged by Léa Thouin. All genres welcome. Winners exhibited at international galleries in New York, Tokyo, Milan, and Arles. $24,000 in total cash prizes across the year.",https://www.life-framer.com/competitions/,@life_framer,Online,"$2,000",,Website,Up to 10 images,"Léa Thouin, Photography historian, Fondation Henri Cartier-Bresson",,Not accepted,life-framer-black-white,true,2026-03-16
Life Framer — Colors,Life Framer,2026-04-30,$20–$100,photography,"Monthly photography competition judged by Jimmy Marble. All genres welcome. Winners exhibited at international galleries in New York, Tokyo, Milan, and Arles.",https://www.life-framer.com/competitions/,@life_framer,Online,"$2,000",,Website,Up to 10 images,"Jimmy Marble, Photographer & Creative Director",,Not accepted,life-framer-colors,true,2026-03-16
Life Framer — Portraits,Life Framer,2026-05-31,$20–$100,photography,"Monthly photography competition judged by Robin Hammond. All genres welcome. Winners exhibited at international galleries in New York, Tokyo, Milan, and Arles.",https://www.life-framer.com/competitions/,@life_framer,Online,"$2,000",,Website,Up to 10 images,"Robin Hammond, National Geographic Explorer & Documentary Photographer",,Not accepted,life-framer-portraits,true,2026-03-16
BBA Photography Prize 2026,BBA Gallery,2026-03-30,€59,photography,International photography prize open to all levels and themes. Selected work exhibited at BBA Gallery in Berlin. First prize includes solo exhibition in 2027 and Artsy profile.,https://bba-prizes.com/photography-prize,@bba.prizes,"Berlin, Germany","€1,000",,Website,5 images,"Vishal Shah, Managing & Creative Director, BBA Gallery; Renata Kudlacek, Director & Curator, BBA Gallery; Cia Durante, Art Consultant, MA Photography, Royal College of Art; Klaus J.A. Mellenthin, Photographer & Filmmaker; Alexander Jöchl, Director, Samurai Museum Berlin; Hannah Weber-Heidenfels, Fair Manager, Affordable Art Fair Germany","May 20, 2026",,bba-photography-prize-2026,true,2026-03-16
Arty Rat Magazine Open Call,Arty Rat,2026-04-01,"Free to submit, €35–€100 if selected",zine,Independent art magazine inviting artists and photographers worldwide to submit contemporary visual work. Two artists selected for cover features. One artist receives free participation in group exhibition in Vienna.,https://artyrat.com/opencall/,@artyratjournal,"Vienna, Austria",,,Email,Up to 6 images,,,,arty-rat-magazine-open-call,true,2026-03-16
MSU Zagreb Artist Residency 2026,Museum of Contemporary Art Zagreb,2026-04-01,Free,residency,"One-month international artist residency (September 20 to October 20, 2026) within the Meeting Point project and L'Internationale's Museum of the Commons programme. Focus on climate crisis, shared resources, and the museum's relationship to local communities. Includes accommodation, €1,500 participation fee, up to €500 travel support, curatorial dialogue, and access to local community networks. Process-oriented, not production-focused.",http://www.msu.hr/stranice/News/18/en.html,@msuzagreb,"Zagreb, Croatia","€1,500 + accommodation + travel",,,"Motivational letter, CV/portfolio",,"April 15, 2026",,msu-zagreb-artist-residency-2026-museum-of-contemporary-art-zagreb,false,2026-03-20
Louvre Unbound Magazine — Volume 6 Open Call,Louvre Unbound,2026-04-15,"Free to submit, $39–$139 if selected",zine,"International contemporary art magazine seeking visual artists worldwide. Painting, photography, sculpture, digital art, mixed media, and more. Submit up to 6 artworks for consideration. Selected artists are featured in print and promoted across social media.",https://louvreunbound.com/art-submission,@louvreunbound,Online,,,Google Form,Up to 6 images,,,,louvre-unbound-magazine-volume-6-open-call,true,2026-03-16
Musée du quai Branly Photography Award 2026,Musée du quai Branly – Jacques Chirac,2026-03-15,Free,grant,"Annual grant supporting non-European artists to create original photographic works for the museum's permanent collection. Three selected artists each receive €30,000 plus production support and travel to Paris.",https://site.picter.com/musee-quai-branly-photography-award-2026,,"Paris, France","€30,000",,,,,"July 30, 2026",,mus-e-du-quai-branly-photography-award-2026,true,2026-03-16
Photographers Without Borders Revolutionary Storyteller Grant,Photographers Without Borders,2026-03-30,Free,grant,"Three recipients worldwide receive $5,000 USD each for impact-driven photography projects focused on environment, land/water protection, decolonized conservation, queer ecology, and climate change.",https://www.photographerswithoutborders.org/revolutionaries,@photographerswithoutborders,Online,"$5,000",membership-required,,Up to 12 images,"Eman Mohammed, Photographer; Sophia Nasif, Photographer; Natalia Ortiz Mantilla, Photographer",,,photographers-without-borders-revolutionary-storyteller-grant,true,2026-03-16
10. Merck-Preis der Darmstädter Tage der Fotografie,Darmstadt Days of Photography,2026-03-15,€25,exhibition,"Festival seeking projects exploring 'unstable presence' through direct contact with reality. Finalists receive €500 production budget, travel reimbursement, and hotel accommodation.",https://phmuseum.com/awards/10-merck-preis-der-darmstadter-tage-der-fotografie,,"Darmstadt, Germany",€500,,,Up to 12 images,"Robin Hinsch, Photographer & Professor; Sara-Lena Maierhofer, Photographer & Professor; Ute Noll, Curator; Marcel Rauschkolb, Curator; Kris Scholz, Professor; Gregor Schuster, Photographer","April 20, 2026",,10-merck-preis-der-darmst-dter-tage-der-fotografie-darmstadt-days-of-photography,false,2026-03-16
On the Block - Street & Urban Photography,Lucie Foundation,2026-03-31,$20/image,exhibition,"Celebrates street and urban photography. Seeking unposed, unfiltered moments revealing quiet truths and vivid stories.",https://www.luciefoundation.org/open-call-on-the-block-2nd-edition/,,Online,,,,,"Paris Chong, Gallery Director, Leica Gallery Los Angeles; Lynn Johnson, Photographer, National Geographic",April 2026,,on-the-block-street-urban-photography-lucie-foundation,false,2026-03-16
Temporary Storage,Container Media,2026-03-15,Free,exhibition,"Online photo-based exhibition exploring duration, process, and time as material. Open to photographers using photo-based practices.",https://containermedia.org/open-call-temporary-storage,,Online,,,Email,Unlimited images,,,Accepted,temporary-storage-container-media,false,2026-03-16
Photo Laureate 2026,Saint Petersburg Month of Photography,2026-03-17,Check website,photography,Select one photographer to document Tampa Bay for one year. Winner receives solo exhibition at Florida Museum of Photographic Arts.,https://spmop.org/call-for-entries-pl-2026,,"Tampa Bay, FL, USA",,,,,,May 2026,,photo-laureate-2026-saint-petersburg-month-of-photography,false,2026-03-15
Solo Exhibition April 2026,All About Photo,2026-03-20,$45,exhibition,"Monthly featured photographer showcase with global audience visibility. April 1-30, 2026 in La Jolla, CA.",https://www.all-about-photo.com/all-about-photo-contest.php?cid=205,@allaboutphoto,"La Jolla, CA, USA",,,,6–14 images,"Sandrine Hermand-Grisel, Founder & Editor, All About Photo","April 1, 2026",,solo-exhibition-april-2026-all-about-photo,false,2026-03-15
Discovery Art Fair Cologne - Art Fair Spot,New & Abstract Gallery Berlin,2026-03-18,Check website,exhibition,Get an exclusive art fair spot at the Discovery Art Fair in Cologne at the New & Abstract booth. Open to abstract and contemporary artists.,https://www.newandabstract.com/pages/open-call,@new_and_abstract,"Cologne, Germany",,,,,,,,discovery-art-fair-cologne-art-fair-spot-new-abstract-gallery-berlin,false,2026-03-15
Seeing America,Viewpoint Photographic Art Center,2026-03-18,$30–$50,exhibition,Celebrating 250th Anniversary of the Declaration of Independence. Exhibition during Photography Month Sacramento.,https://www.viewpointphotoartcenter.org/call-for-entries-seeing-america/,,"Sacramento, CA, USA",$400,,,Up to 4 images,"Eric Lindberg, Adventure Travel Photographer","March 23, 2026",,seeing-america-viewpoint-photographic-art-center,false,2026-03-15
Organ Vida 14 - Happy Spiraling,Organ Vida Festival,2026-03-18,€35,exhibition,"Open to photographers and visual artists. Winners receive €300 artist fee, mentorship, exhibition at Museum of Contemporary Art Zagreb (June 2026), with travel and accommodation covered.",https://site.picter.com/organ-vida-2026,,"Zagreb, Croatia",€300,,,Up to 25 images,,Mid-April 2026,,organ-vida-14-happy-spiraling,true,2026-03-15
"Innovate Grants - Winter $1,800 Grants",Innovate Artist Grants,2026-03-19,$35,grant,"Two $1,800 quarterly grants for visual artists and photographers. Twelve honorable mentions also featured.",https://innovateartistgrants.org,@innovateartistgrants,Online,"$1,800",,,,,,,innovate-grants-winter-1-800-grants,true,2026-03-15
Call for Artists 2026,Tampa International Airport,2026-03-19,Check website,exhibition,"Building internationally acclaimed collection. Eight new locations available for diverse media including sculpture, wall-mounted art, and technology-based works.",https://www.tampaairport.com/call-for-artists,,"Tampa, FL, USA",,,,,,June 2026,,call-for-artists-2026-tampa-international-airport,false,2026-03-15
Dek Unu Magazine - Monthly Artist Feature,Dek Unu Magazine,2026-03-20,Check website,zine,International not-for-profit journal publishing one accomplished artist monthly in print and online. Easy email submissions process.,https://www.dekunumag.com/submit,,Online,,,Email,11 images,,,,dek-unu-magazine-monthly-artist-feature,true,2026-03-15
this place is strange,midwest nice art,2026-03-20,$5,exhibition,"Virtual exhibition seeking the weird underbelly of place — folklore, rust belt decay, uncanny moments. Artists worldwide welcome.",https://www.midwestnice.art/opencalls/thisplaceisstrange,@midwestniceart,Online,,,Google Form,Up to 3 images,"Morgan Laurens, Arts writer & Founder, Goblin Market","March 27, 2026",,this-place-is-strange-midwest-nice-art,false,2026-03-15
The Narrative,TCG Gallery,2026-04-20,Check website,exhibition,"International open call welcoming all forms of two-dimensional images, traditional and non-conventional media, and alternative photographic processes. Exhibition May 1 - June 1, 2026.",https://chateaugallery.com/call-for-entries/,@chateau_gallery,Online,,,Website form,Up to 3 images,,"April 27, 2026",Not accepted,the-narrative-tcg-gallery,false,2026-03-15
Bourse Laurent Troude 2026,Association Laurent Troude,2026-03-20,Free,grant,"8th edition of the photojournalism grant supporting photographers under 30 with a project on French territory. Subjects: political, cultural, social, or sports themes in a proximity photojournalism format. Prize: €8,000 from La SAIF and Libération, one-year Divergence Images subscription, exhibition/projection in spring 2027, and publication in Libération. Submit via WeTransfer.",https://www.bourselaurenttroude.com/,@bourselaurenttroude,"Paris, France","€8,000",under-30,Email + WeTransfer,5–10 images,,April 2026,Not accepted,bourse-laurent-troude-2026,true,2026-03-20
Multi-Exposed,Praxis Photo Arts Center,2026-03-22,Free for new members,exhibition,"Explores time overlaps and memory through photography. Exhibition: April 18 - May 16, 2026 in Minneapolis, MN.",https://www.praxisphotocenter.org/x2-sub-4-10,@praxis_gallery,"Minneapolis, MN, USA",Exhibition,,Smarter Entry,Up to 10 images,,"April 7, 2026",,multi-exposed-praxis-photo-arts-center,false,2026-03-15
Linkshouse Residency — Pier Arts Centre Orkney,Visual Arts Scotland,2026-03-15,Free,residency,"Month-long funded residency at Linkshouse in Birsay, Orkney, May 1–31, 2026. Partnership with Wilhelmina Barns-Graham Trust and Pier Arts Centre. Includes accommodation, £2,200 stipend, and travel bursary up to £250. On-site artist support and opportunity for future exhibitions with VAS. VAS membership required.",https://www.visualartsscotland.org/opportunity/open-call-linkshouse-residency-birsay-orkney/,@visualartsscotland,"Orkney, United Kingdom","£2,200 + accommodation",membership-required,Email,"1 PDF (statement, 4 responses, 6 images)",,End of March 2026,,linkshouse-residency-pier-arts-centre-orkney-visual-arts-scotland,false,2026-03-20
Premio Mila 2026,Malerba Fund,2026-03-22,Free,grant,"Supporting Italian or Italy-based artists under 40. Five finalists exhibited in Milan; winner receives €3,000 acquisition prize with work entering permanent collection.",https://www.fondomalerba.org/premio,@fmf_malerba,"Milan, Italy","€3,000",italy; under-40,Email + WeTransfer,Up to 15 images,"Andrea Elia Zanini, Curator, Fondo Malerba; Caterina Angelucci, Curator & Journalist; Matteo Balduzzi, Curator, MUFOCO; Marta Cereda, Artistic Director, Careof; Bernardo Follini, Curator, Fondazione Sandretto Re Rebaudengo; Francesca Lazzarini, Independent Curator",,,premio-mila-2026-malerba-fund,false,2026-03-15
Foto Tallinn 2026 Art Fair,Foto Tallinn,2026-03-23,See application PDF,exhibition,"Estonia's only international art fair dedicated to contemporary photography. September 18-20, 2026 at Kai Art Centre in Tallinn.",https://www.fototallinn.ee/en/open-call/,@fototallinnfair,"Tallinn, Estonia",,,Website form,At least 5 images,"Anna Tellgren, Curator; Jeppe Ugelvig, Curator & Writer; Margot Samel, Gallerist; Sara Giuliattini, Curator; Lilian Hiob-Küttis, Curator",Late spring 2026,,foto-tallinn-2026-art-fair,true,2026-03-15
Whimsical,A Photographer's Place,2026-03-23,$35,exhibition,"Seeking work that surprises, delights, and transports viewers through playful storytelling, surreal elements, and unexpected juxtapositions.",https://www.aphotographersplace.photo/call-for-submissions,@aphotographersplace,"Raleigh, NC, USA",Exhibition,,Smarter Entry,Up to 5 images,"Stephen Fletcher, Juror","March 25, 2026",,whimsical-a-photographer-s-place,false,2026-03-15
10x10 Photobooks Research Grants Cycle 5,10x10 Photobooks,2026-03-23,Free,grant,"Three $2,500 grants supporting research on photobooks from Africa and its diaspora.",https://10x10photobooks.org/research-grants-cycle5-call/,@10x10photobooks,Online,"$2,500",,Google Form,Project description + bio,"Amy Sall, Founding Editor, SUNU Journal; Diane Frankel, Chair, George Rickey Foundation; Mariama Attah, Curator, National Museums Liverpool; Marjorie Ornston, Grants Director, 10x10 Photobooks",May 2026,,10x10-photobooks-research-grants-cycle-5,true,2026-03-15
Fast Forward: Analog Photography as a Third Space,Los Angeles Center for Photography,2026-03-24,$25–$200,exhibition,Analog-only submissions exploring how photography creates space for camaraderie and interaction. Darkroom prints and experimental work welcome.,https://losangelescenterofphotography.submittable.com/submit/351386/fast-forward-analog-photography-as-a-third-space,,"Los Angeles, CA, USA",,analog-photography,Submittable,Up to 35 images,"Aline Smithson, Founder & Editor, Lenscratch; Rotem Rozental, Executive Director & Chief Curator, LACP","March 27, 2026",Not accepted,fast-forward-analog-photography-as-a-third-space-los-angeles-center-for-photography,false,2026-03-15
The Magic of Light - Photography Open Call,Art/Space 114,2026-03-25,$45 for up to 5 images,exhibition,"Film, digital, and alternative process photography including hybrid approaches. Exhibited in Los Angeles, CA.",https://app.entrythingy.com/artspace114/artspace-114-photography-open-call/,,"Los Angeles, CA, USA",,,EntryThingy,Up to 15 images,"Ann M. Jastrab, Executive Director, Center for Photographic Art","April 4, 2026",Not accepted,the-magic-of-light-photography-open-call-art-space-114,false,2026-03-15
The Human Portrait,Photo Artfolio,2026-03-25,$20,photography,"Global online exhibit honoring portraiture in all its forms — documentary, fine art, street, conceptual, experimental, self-portraiture, and beyond. Seeking portraits that convey presence, emotion, tension, or quiet recognition. $20 for first image, $5 each additional, up to 20 images total. No AI-generated imagery.",https://www.photo-artfolio.com/calls-for-entry,@photo_artfolio,Online,"$1,000",,Website form,Up to 20 images,,"April 15, 2026",Not accepted,the-human-portrait-photo-artfolio,false,2026-03-20
BOTANICAL Photography Exhibit,Dusk Photo Gallery,2026-03-26,$40–$45,exhibition,"Beyond documentation — seeking character in a leaf, architecture in a seedpod. All styles and processes welcome. Santa Fe, NM.",https://duskphotogallery.com,@dusk.photogallery,"Santa Fe, NM, USA",,,Website form,5 or 10 images,"Holly Hart, Fine Art Photographer & Founder, Dusk Gallery","April 9, 2026",,botanical-photography-exhibit-dusk-photo-gallery,false,2026-03-15
Photographic Exploration Project: ENTANGLEMENT,PEP Photography,2026-03-26,€5–€15,exhibition,"Explores intricate webs of connections from intimate relationships to global systems. Group exhibition at Loop Raum in Berlin, July 2026.",https://www.pep.photography/calls,@photographicexplorationproject,"Berlin, Germany",,,JotForm,1–10 images,"Rüdiger Lange, Artistic Director, Loop – Raum für aktuelle Kunst; Bénédicte Blondeau, Founder & Curator, PEP",,,photographic-exploration-project-entanglement-pep-photography,false,2026-03-15
Portfolio 2026,Atlanta Photography Group,2026-03-27,$75–$105,exhibition,"Juried exhibition featuring cohesive bodies of work. Juror: Natasha Egan (MoCP). Winner eligible for $4,000 High Museum purchase award.",https://atlantaphotographygroup.org/events/call-for-entry-portfolio-2026/,@atlantaphotographygroup,"Atlanta, GA, USA","$4,000",membership-required,Dropbox,10 or 20 images,"Natasha Egan, Executive Director, Museum of Contemporary Photography","April 5, 2026",,portfolio-2026-atlanta-photography-group,false,2026-03-15
COLOR Photography Exhibit,Decode Gallery,2026-03-28,$40–$45,exhibition,"Exploring color as one of the most powerful storytelling tools. Bold, subtle, vibrant, or muted approaches welcome. Tucson, AZ.",https://decodegallery.com/color,@decode_gallery,"Tucson, AZ, USA",,,Website form,5 or 10 images,"Holly Hart, Founder, Decode Gallery","~April 11, 2026",,color-photography-exhibit-decode-gallery,false,2026-03-15
Contemporary Trends in Beauty - Alternative Processes,L.A. Photo Curator,2026-03-29,$25,exhibition,Handcrafted prints using alternative photographic processes. No AI-generated images; final print must be handmade. Juried by Diana H. Bloomfield and Chris Anderson.,https://laphotocurator.com/call-for-entry-contemporary-trends-in-beauty-with-diana-h-bloomfield-chris-anderson,@laphotocurator7,Online,,alternative-process,Email,3 or 6 images,"Diana H. Bloomfield, Visual Storyteller; Christina Z. Anderson, Alternative Processes Artist",,Not accepted,contemporary-trends-in-beauty-alternative-processes-l-a-photo-curator,false,2026-03-15
Centrale Festival Open Call 2026,Fano Centrale Festival,2026-03-29,Free,exhibition,"Seeking 16 artists under 30 specializing in photography and video art for exhibition in Fano, Italy (June 12-27, 2026). Festival manages curation and setup.",https://phmuseum.com/awards/centrale-festival-open-call-2026,@centralefestival,"Fano, Italy",,under-30,Email,,"Claudia Bigongiari, Managing Editor, Pellicola Magazine; Lori Lako, Visual Artist; Sara Poli, Director, Forno Project",,,centrale-festival-open-call-2026,true,2026-03-15
Abstract Visions,Artdoc Photography Magazine,2026-03-30,Free,zine,"Invites abstraction as a way of seeing, sensing, and surviving. Welcomes projects communicating through atmosphere, rhythm, colour, and form. Amsterdam.",https://www.artdoc.photo/open-call/abstract-visions,@artdoc_magazine,Online,,membership-required,Website form,,,,,abstract-visions-artdoc-photography-magazine,false,2026-03-15
The Process Room - Open Call for Workshops & Artworks,Alternative Processes,2026-03-31,Open Offer (PWYC),photography,Open call for workshops and artworks exploring alternative photographic processes. Presented in collaboration with Photobook Cafe.,https://www.alternativeprocesses.org/theprocessroom,@alternativeprocesses,"London, United Kingdom",Exhibition,,Google Form,,,,,the-process-room-open-call-for-workshops-artworks-alternative-processes,false,2026-03-15
Mini Artist Grant for Emerging & Mid-Career Artists,Photo Trouvee Magazine,2026-03-31,$10,grant,Artist grant for emerging and mid-career artists working with found photography and alternative processes.,https://www.phototrouveemagazine.com/mini-grant,@phototrouveemagazine,Online,,,JotForm,Up to 5 images,,,,mini-artist-grant-for-emerging-mid-career-artists-photo-trouvee-magazine,false,2026-03-15
Colour Calendar Event,AlternativePhotography.com,2026-03-31,Free,photography,"Annual event inviting artists to introduce colour into monochrome alternative processes — cyanotype, chemigram, anthotype, and more.",https://www.alternativephotography.com/calendar-event/,@alternativephotography_com,Online,,alternative-process; membership-required,Email,Single image,,,Not accepted,colour-calendar-event-alternativephotography-com,false,2026-03-15
FotoSlovo Award 2026,FotoSlovo,2026-03-31,€9–€42,grant,"International competition across all genres. Prizes: €2,000 cash, iPhone, Limassol Biennale participation, exhibitions in Bucharest and Frejus, magazine feature, festival projections, free book production.",https://fotoslovo.art/en/awards2026,@fotoslovo_award,"Bucharest, Romania","€2,000",,Website form,1–15 images,"Whitney Cole, Director, Candela Gallery; Ali Besikci, Photographer & Founder of ZONE; Madara Ulme, Artistic Director, SNAP Collective; Souhayl A, Winner FotoSlovo Awards 2024; Arnis Balcus, Editor-in-Chief, FK Magazine; Laza Anna, Founder of FotoSlovo",,Dedicated category,fotoslovo-award-2026,true,2026-03-15
Ephemere Photobook Grant 2026,Ephemere Photo Fest,2026-03-31,Free,zine,"Selected artist receives 100% production coverage for an eco-conscious monograph published in Japan, global distribution, and round-trip airfare to Tokyo for launch at Ephemere Photo Fest (October 2026).",https://www.ephemere.tokyo/grants,@ephemere.tokyo,"Tokyo, Japan",,,Google Form,Book dummy,"Anne Murayama, Curator & Director, Ephemere; Jordan Reyes, Creative Partner, Ephemere",May 2026,,ephemere-photobook-grant-2026,true,2026-03-15
2026 Street Photo Award,The Independent Photographer,2026-03-31,$15–$40,photography,"Monthly street photography competition. Submit candid moments from packed corners to stark geometry. Winner receives $1,000, exhibition at PBC Gallery London, and feature. Total prize pool $2,700. Judge: Gulnara Samoilova.",https://independent-photo.com/submit/,@theindependentphoto,Online,"$2,700",,Website form,"1, 3, or 6 images","Gulnara Samoilova, Photographer",,Not accepted,2026-street-photo-award-the-independent-photographer,false,2026-03-15
A Stranger's Face: Travel Portraits (KLPA),Kuala Lumpur Photo Awards,2026-03-31,€15-65,photography,"18th edition seeking travel portraits of strangers. Forty shortlisted photographers featured in Malaysian exhibition (September 2026) and international partner festivals. Prizes: €2,000/€1,000/€500.",https://site.picter.com/klphotoawards-2026,@klphotoawards,"Kuala Lumpur, Malaysia","€2,000",,Picter,Up to 10 images,"Aisha Nazar, Picture Editor, National Geographic Traveller UK; Michelle Sank, Documentary Photographer; Ivan Gabriel, Curator & Arts Practitioner; Ng Hui Hsien, Artist & Curator; She Escobar, Photographer","July 15, 2026",Not accepted,a-stranger-s-face-travel-portraits-klpa-kuala-lumpur-photo-awards,false,2026-03-15
AAP Magazine #56 Shadows,All About Photo,2026-03-31,$30–$35,zine,"Mastering shadows in photography. Winners receive $1,000 cash, publication in AAP Magazine #56, and global recognition.",https://www.all-about-photo.com/all-about-photo-contest.php?cid=209,,Online,"$1,000",,Website form,Up to 40 images,"Sandrine Hermand-Grisel, Founder & Editor, All About Photo",,,aap-magazine-56-shadows-all-about-photo,false,2026-03-15
"Color, Culture, Continuum – An Asian American Mosaic",Asian American Museum of Orange County,2026-03-31,$30,photography,"Celebrates Asian American life through photography. Professional and amateur photographers welcome to submit work exploring identity, heritage, and community.",https://aamuseumgp.org/events/mosaic,@asianamericanmuseumgp,"Orange County, CA, USA",,asian-american,SmarterEntry,Up to 3 images,"Kim Chapin, Executive Director of Photography, LA Times; Gong Cheng, Sports Photojournalist; Hiroshi Watanabe, Photographer",,,color-culture-continuum-an-asian-american-mosaic-asian-american-museum-of-orange-county,false,2026-03-16
Night Works,Decagon Gallery,2026-03-31,$10–$25,exhibition,Seeking images made after dark where night is not simply a setting but an active collaborator.,https://www.decagongallery.com/night-works-entry,@decagon_gallery,Online,$500,,Website form,1–8 images,,,,night-works-decagon-gallery,false,2026-03-15
Fall 2026 - Spring 2027 Solo Exhibitions,"SRO Photo Gallery, Texas Tech University",2026-03-31,Free,exhibition,"Six to eight solo exhibitions plus four moving image exhibitions. All styles and techniques welcome. Lubbock, Texas.",https://www.depts.ttu.edu/art/exhibits/landmark-arts/SRO_Photo_Gallery/SRO-call-for-submissions.php,@srophotogallery,"Lubbock, TX, USA",,,Email,20 images,,Early May 2026,,fall-2026-spring-2027-solo-exhibitions-sro-photo-gallery-texas-tech-university,false,2026-03-15
Hasselblad Foundation Photo Book Grant 2026,Hasselblad Foundation,2026-04-01,Free,grant,"Two grants of SEK 100,000 (~$9,500 USD) each supporting development and publication of photographic books. Projects should be largely edited but not yet published.",https://www.hasselbladfoundation.org/en/stipend/photo-book-fellowships/,@hasselbladfoundation,"Gothenburg, Sweden","SEK 100,000",professional,Picter,Digital book dummy,"Jacob Birch, Spine Studio; Maryam Fanni, HDK-Valand; Andréas Hagström, Hasselblad Foundation; Dragana Vujanovic Östlind, Hasselblad Foundation",June 2026,AI mockups must be disclosed,hasselblad-foundation-photo-book-grant-2026,true,2026-03-15
Grants in Photography 2026,Light Work,2026-04-01,Free,grant,"Five $3,000 grants for photographers in New York State (outside NYC region). Exhibition and publication in Contact Sheet.",https://lightwork.slideroom.com/,@lightworkorg,"Syracuse, NY, USA","$3,000",united-states,SlideRoom,,,,,grants-in-photography-2026-light-work,false,2026-03-15
Portals: New Perspectives,PhotoPlace Gallery,2026-04-06,$39,exhibition,"Exploring the visual and symbolic power of openings, thresholds, and transitions. Windows, doorways, mirrors, gates, archways, and frames within frames. Juror: Ann Jastrab.",https://photoplacegallery.com/online-juried-shows/portals-new-perspectives,@photoplacegallery,"Middlebury, VT, USA",Exhibition,,Website form,5+ images,"Ann Jastrab, Executive Director, Center for Photographic Art",,,portals-new-perspectives-photoplace-gallery,false,2026-03-16
CPA Artist Grants 2026,Center for Photographic Art,2026-04-07,$30,grant,"Five $5,000 grants across five categories: emerging photographer, mid-career photographer, landscape photographer, LGBTQ+ photographer, and Monterey County resident.",https://www.photography.org/events/call-for-entry-cpa-artist-grants-2025-ptxxb,@centerphotographicart,"Carmel-by-the-Sea, CA, USA","$5,000",,Website form,10–20 images,"Diane Chung, Founder, CHUNG 24 GALLERY; Gregory Harris, Curator of Photography, High Museum of Art; Frank Yamrus, Fine Art Photographer",,,cpa-artist-grants-2026-center-for-photographic-art,false,2026-03-16
Thoughts of Summer,Southeast Center for Photography,2026-04-15,$35,exhibition,"Celebrating summer — family, friends, vacations. Jurors: Lisa Woodward and Mia Dalglish (Pictura co-curators). Greenville, SC.",https://www.sec4p.com/thoughts-of-summer-prospectus,@sec4p,"Greenville, SC, USA",Exhibition,,Smarter Entry,Up to 25 images,"Lisa Woodward, Co-Curator, Pictura; Mia Dalglish, Co-Curator, Pictura","April 30, 2026",,thoughts-of-summer-southeast-center-for-photography,false,2026-03-15
2026 International Portfolio Competition,Soho Photo Gallery,2026-04-03,$60,exhibition,NYC's longest-running cooperative gallery awarding three solo shows. Portfolio: 10-15 images with consistent theme. No AI-generated work.,https://artist.callforentry.org/festivals_unique_info.php?ID=16804,@sohophotogallery,"New York, NY, USA",Solo exhibition,,CaFE,10–15 images,,,Not accepted,2026-international-portfolio-competition-soho-photo-gallery,false,2026-03-15
THE PORTRAIT,Praxis Photo Arts Center,2026-04-05,$35,exhibition,"Explores depth and complexity of human subject. Juried by Elizabeth Flinsch. All lens-based practices welcome. Minneapolis, MN.",https://www.praxisphotocenter.org/x1-sub-5-11,,"Minneapolis, MN, USA",Exhibition,,Website form,Up to 10 images,"Elizabeth Flinsch, Editor, SHOTS Magazine","April 16, 2026",,the-portrait-praxis-photo-arts-center,false,2026-03-15
Earthly Fabulations,Der Greif,2026-04-08,Free (voluntary €10 donation),photography,Earth Day 2026 call for lens-based artists deconstructing landscape photography tradition. Ephemeral online exhibition displayed one month.,https://site.picter.com/der-greif-earthly-fabulations,@der_greif,Online,Exhibition,emerging,Picter,,"Caroline von Courten, Artistic Director, Der Greif; Francesca Hummler, Community Manager & Program Curator, Der Greif; Ilaria Sponda, Managing Editor & Project Manager, Der Greif; Carolina Semprucci, Graphic Designer & Assistant Editor, Der Greif","April 22, 2026",,earthly-fabulations-der-greif,false,2026-03-15
