"Name","Prizes","Requirements"
"Photo Trouvée Virtual Artist Residency — Spring 2026","Virtual artist residency at Photo Trouvée","Portfolio submission"
"HNDL Magazine — PRIDE Issue","Publication in HNDL Magazine","Up to 3 pieces"
"Off The Clock 2026","Exhibition + publication","Unlimited single images"
"The Female Show 2026","Exhibition at Munich Art Gallery","Portfolio submission"
"Open Call — Il Reportage in Italia","€500 prize","15–25 images"
"100 Emerging Artworks of 2026","$1,000 prize","Up to 20 artworks"
"Michael P. Smith Fund for Documentary Photography 2026","$3,000 grant","10–20 images"
"Luz e Sombra — National Photography Competition","€3,000 prize","6 images"
"CPG Mentorship Programme 2026","CHF 500","1 project in progress"
"New Wave Photography Award 2026","TWD 100,000","15–25 images"
"Solo Statement — Doesn't Play Well with Others","One-night solo gallery takeover at Bushwick Gallery, Brooklyn (non-commercial, press + promo included)","3–5 images"
"The Woman Artist Award — 6th Edition","$1,000 award + publication","Artwork images"
"Solstice Magazine Issue 71 — Editorial Submissions","Publication in Solstice Magazine (high-end fashion/beauty print, exclusive)","Minimum 5 looks, 3 images per look"
"LSI Women in Photography Grant 2026","$10,000 grant + Leica camera & lens kit","10 images"
"Roma E'Festival — Street Photography Awards 2026","Ricoh GR IV (Single 1st) + Canon printer (B&W 1st) + solo show (Series 1st) + exhibition + catalog + touring show","3–15 images across 5 categories"
"Dyonyzine Issue 06 — Second Helpings","Publication in Dyonyzine","Up to 3 entries"
"FeelsZine Issue 26 — Desire","Publication in FeelsZine","1–2 works"
"Cut+Paste Magazine Issue 17 — Gather","Publication + payment","Via email"
"Outdoor Photography Magazine — Creative Wildlife","£229 prize + publication","Up to 5 images"
"Outdoor Photography Magazine — Spring Landscapes","£150 prize + publication","Up to 5 images"
"Zone Magazine — Open Submissions","Featured on Zone Magazine + Instagram + possible inclusion in collective book","Up to 20 images"
"Burn Magazine — Open Submissions","Published on Burn Magazine online + print (founded by David Alan Harvey, Magnum)","Photo essay via URL or PDF"
"Incandescent Zine — Color Film Photography","Publication in Incandescent Zine","Up to 12 images"
"Phases Magazine — Open Submissions","Published portfolio on Phases Magazine (online, 1287+ portfolios since 2012)","Portfolio link or images via email"
"Noice Magazine — Open Submissions","Publication on NOICE website + social media + limited-edition print issues + free editing guide","Portfolio link via website form"
"Solo Exhibition May 2026","Solo online exhibition on All About Photo","6–14 images"
"SIYU Award 2026","CHF 5,000 + CHF 3,000 + CHF 2,000 + exhibition + catalogue","3–8 images"
"Alpine Fellowship Visual Art Prize 2026","£3,000 1st place + £1,000 2nd place + £1,000 3rd place","1 image per entry"
"This Is a Person","$500 prize","Up to 8 images"
"Monochrome Awards 2026","$2,000 Photographer of the Year + $1,000 Discovery of the Year + book + exhibition","1 image per entry"
"Annual Photography Awards 2026","$2,500 Photographer of the Year + 5 × $500 category winners + medals","1–8 images"
"HER.SELF","$1,250 total prizes","Up to 20 images"
"Wider Skies Magazine — Issue 1","Publication in Wider Skies Magazine","Up to 4 images"
"Atlas of Ruins Vol.3 — Call for Photos","€1,200 prize","1–10 images"
"SVĚTOVA 1 Artist Residency 2026","€820 stipend + residency","1 PDF"
"Monograph No. 01","Dedicated artist monograph by No-Type (fully funded) + 20% of print edition + shortlist interviews","Cohesive body of work"
"37th Annual Juried Photography Show","$1,000 prize","1-4 JPG images, 1-6 MB each"
"Homo Technologicus","Exhibition at Loosenart Gallery","1–3 works"
"Residency Program 2026","$1,000 stipend + residency","Portfolio and application"
"People 2026","Online exhibition + profile interview (1st place) + digital certificate + printed catalog","No limit on submissions, fee per image"
"Nature 2026","Gallery exhibition in Glasgow + online gallery + catalogue + Photographer of the Month chance","1–8 images"
"Future Days 2026","Gallery exhibition in Glasgow + online gallery + catalogue + Photographer of the Month chance","1–8 images"
"Artist in Residence Program 2026","$3,000 honorarium + 4-week residency + $1,000 ink/paper + $1,500 travel + lifetime membership","Up to 10 images"
"Outside the Box: Cameraless Photography","$200 Juror's Award + $150 Director's Award + exhibition","1–5 images"
"X ROID Bonn 2026","Exhibition at X ROID instant art festival, Bonn (3-day event, framing included)","Up to 4 Polaroids or 2 large format"
"Defiance Zine Open Call","Publication in Revoke Collective's debut zine (theme: Defiance)","Up to 3 images"
"Les Mots du Phare Vol. 04: Futur(s)","Publication in Linea Recta Books","Up to 4 B&W images"
"I Can Buy Myself Flowers","Pop-up exhibition in Amsterdam + publication in PURPLEHAZE Magazine","3–5 images"
"Fresh Legs 2026","Exhibition at Galleri Heike Arndt + Inselgalerie, Berlin (possible Denmark tour)","3–6 works"
"KH7 Artspace — Exhibitions 2026","Exhibition at KH7 Artspace, Denmark + artist fee + PR support","Project proposal"
"Ephemere Photo Journal Vol. 2 — Triplicities","¥10,000 + publication","5–10 images (single PDF)"
"European Landscapes Open Call","Publication in Soft Publishing collective photobook (printed, 100+ artists)","Up to 15 images"
"Northern Europe Landscapes Open Call","Publication in Soft Publishing collective photobook (printed, 100+ artists)","Up to 15 images"
"Hasselblad Foundation Nature Photography Grant 2026","100,000 SEK grant","Up to 10 images"
"Guest Room: Shana Lopes & Aspen Mays","Feature on Der Greif + feedback session + €250 scholarship","1–5 images"
"Photobook Feature — In Focus","Editorial feature on Der Greif platform","Physical book/dummy + flip-through video"
"Jugend fotografiert Deutschland 2025","€200–€500 prizes + exhibition","5–10 images per story"
"Nikon Comedy Wildlife Photography Awards 2026","Kenya safari for 2 + Nikon gear + trophies","Up to 10 images + 2 videos"
"FLORA — Shutter Hub Editions Publication","Publication in Shutter Hub Editions printed photobook (national archives + stockists worldwide)","Up to 10 images"
